1,Advanced Fresh Concepts,12/31,C,Zensho,,"19205 South Laurel Park Road Rancho Dominguez, California 90220",NULL,NULL,310-604-3200,,,,NULL,6,0,1900-01-01,NULL,1900-01-01
2,BRAST INC,06/30,C,N/A,,"141 S Robertson Blvd Beverly Hills,  CA  90211",N/A,,310-659-1092,,,,NULL,6,0,1900-01-01,NULL,1900-01-01
3,CB Richard,12/31,C,CBRE,,"2221 Rosecrans Ave., Suite 100 El Segundo, CA 90245",,,310-363-4900,,,,NULL,6,0,1900-01-01,NULL,1900-01-01
4,Delica Iwata California,04/30,C,N/A,,"One Ferry Building Shop 45, San Francisco, CA 94111",,,415-834-0344,,,,NULL,6,0,1900-01-01,NULL,1900-01-01
5,Dream Kid Holding Company,12/31,C,Dream Kid,,N/A,"3-15-11 Jingumae, Shibuya-ku Tokyo 150-0001",,+81 3-5202-4804,,,,NULL,6,0,1900-01-01,NULL,1900-01-01
6,FlowONE Inc.,12/31,C,N/A,,N/A,2-22-2 Nakano-ku Nakano Tokyo 164-0003,,+81 3 4405 5535,,,,NULL,6,0,1900-01-01,NULL,1900-01-01
7,GMO Payment Gateway USA LLC,09/30,IC,GMO Group,,c/o TOPC Potentia,"1-2-3 Dogenzaka, Shibuya-ku, Tokyo, 150-0043",,+81 3-3464-2352,,,,NULL,6,0,1900-01-01,NULL,1900-01-01
8,"GMO-Z.COM PAYMENT GATEWAY USA, INC.",09/30,IC,GMO Group,,c/o TOPC Potentia,"1-2-3 Dogenzaka, Shibuya-ku, Tokyo, 150-0043",,+81 3-3464-2352,,,,NULL,6,0,1900-01-01,NULL,1900-01-01
9,"Kurokawa, Karen",12/31,C,N/A,,"4231 Lincoln Avenue, Cypress CA 90630",N/A,,310-567-9649,,,,NULL,6,0,1900-01-01,NULL,1900-01-01
10,"Miyamoto, Kikuo",12/31,C,N/A,,,N/A,,849-229-0003,,,,NULL,6,0,1900-01-01,NULL,1900-01-01
11,Nakanishi Optical Corporation,02/28,C,Nakanishi Optical Corporation,,N/A,"No.1 Osaka Ekimae Bldg
1-3-1-200, Kitaku 
Osaka, Japan",,+81 6-6341-7094,,,,NULL,6,0,1900-01-01,NULL,1900-01-01
12,Roof Tech Inc.,05/31,IC,Yanegiken,,"10620 Treena St. Suite 230, San Diego CA 92131","2-5-17 Aomicho Takahama, Aichi 444-1324",,415-377-8941,,,,NULL,6,0,1900-01-01,NULL,1900-01-01
13,"Tobius Co., Ltd.",06/30,C,N/A,,"141 S. Robertson Blvd., Beverly Hills, CA 90211",N/A,,310-659-1092,,,,NULL,6,0,1900-01-01,NULL,1900-01-01
